tl,71763007
tm,42859004
tmj,53620006
tn,27612005
tnf,8612007
tnm,128462008
tnt,717279005
tpn,225372007
treg,115399009
tse,163382007
tsh,65428006
ttg,36231008
turp,90199006
ua,27171005
uc,64766004
ue,53120007
umb;,78220002
ung,417519007
uri,54150009
uti,68566005
vd,8098009
vf,71908006
vldl,56516007
vma,81810001
vsd,30288003
vt,25569003
vv,29092000
vzig,62294009
wais,58375008
wn,248324001
wnl,125112009
zn,86739005
