""""
%
&
'
's
+
-PRON-
0
0a
0b
1
10
100
1000
1080
1081
10a
10p
10q
10q24
11
11a
11alpha
11p
11p11
11p13
11q
11q23
12
12p
12q
12q14
12q15q21
13
135
13p
13q
14
14q
14q11
14q12
15
15q
15q11
15q11q13
15q13
15q14
15q15
15q24
16
165
16p
16p11
16p13
16q
16q24
17
17b
17beta
17p
17p11
17p13
17q
17q11
17q12
17q21
17q23
18
18p
18q
19
19p13
19q
19q13
1^a^
1a
1b
1c
1d
1e
1f
1h
1j
1k
1l
1n
1o
1p
1p21
1p36
1q
1q21
1q23
1q41
1q41q42
1q44
1qter
1r
1st
1w
1x
1y
2
20
2007
20p
20p12
20q
20q13
21
21q
22
22p11
22q
22q11
22q13
23
24
2499
25
26
27
28
29
2a
2a1
2b
2b1
2b2
2c
2d
2e
2f
2h
2i
2j
2k
2l
2n
2nd
2o
2p
2p12
2p15p16
2p21
2q
2q13
2q23
2q24
2q31
2q32q33
2q37
2r
2s
2y
3
30
31
32
321
33
335
34
35
36
37
37week
38
39
3a
3alpha
3b
3beta
3c
3i
3mc
3p
3p11
3q
3q13
3q28
3q29
3rd
4
40
41
42
44
45
4500
45xo
46
47
48
49
4a
4b
4b1
4b2
4c
4d
4f
4h
4j
4p
4p16
4q
4q21
4th
5
50
51
52
53
54
55
56
57
58
59
5a
5d
5p
5q
5q14
5q31
5q35
5th
6
60
61
62
63
64
65
66
67
68
69
6alpha
6b
6beta
6p
6p22
6pd
6pts
6q
6q25
6th
7
70
71
72
73
74
75
76
77
78
79
7p
7q
7q11
8
80
81
82
84
88
89
8a
8p
8p11
8p23
8q
8q12
8q13
8q21
8q22
9
90
940
95
9a
9p
9q
9q22
:
;
<
=
>
[
]
^
^+^
^>3
^a^gamma
a
a1
a2
a3
a4
a5
a6
a7
a>1
a>2
aa
aa3
aaa
aacg
aagenae
aaion
aamd
aami
aaoor
aaron
aarskog
aase
aau
ab
abacavir
abacterial
abasia
abattoir
abc
abcb4
abd
abdoman
abdomen
abdominal
abdominali
abdominalis
abdomini
abdominopelvic
abdominothoracic
abducen
abducent
abduct
abduction
abductor
abductovalgus
abductus
aberrant
aberrantly
aberration
abeta2
abetalipoproteinaemia
abetalipoproteinemia
abfraction
abiatrophy
abidi
ability
abiotrophia
abiotrophy
abk
abl
ablatio
ablation
ablepharia
ablepharon
abnomality
abnormal
abnormality
abnormally
abnormis
abo
abort
aborted
aborter
abortion
abortive
abortus
about
above
abpa
abrasion
abrasive
abrikossoff
abruptio
abruption
abrus
abruzzo
absceden
abscess
abscessus
absence
absent
absidia
absinthe
absolute
absorption
abstinence
abuse
abusive
ac
aca
acacia
acad
academic
acalculous
acanthamoeba
acanthamoebiasis
acanthamoebidae
acanthamoebosis
acanthocephala
acanthocephalosis
acanthocephalus
acanthocheilonemiasis
acanthocytosis
acantholysis
acantholytic
acanthoma
acanthomatous
acanthosis
acarapis
acarapisosis
acarbose
acardia
acardiac
acardiacus
acardius
acariasis
acaricide
acarina
acarine
acarinosis
acarus
acatalasaemia
acatalasemia
acatalasia
acc
accelerate
accelerated
accelerating
acceleration
accelerator
access
accessory
accident
accidental
accidentally
accommodation
accommodative
